  Admin ~
 😊 ➜  scoop list
Installed apps:

Name             Version      Source           Updated             Info
----             -------      ------           -------             ----
7zip             26.01        main             2026-05-05 20:41:48
adb              37.0.0       main             2026-05-08 09:54:02
antigravity      1.23.2       extras           2026-05-06 14:50:10
bat              0.26.1       main             2025-12-03 07:01:35
beekeeper-studio 5.7.3        extras           2026-05-17 14:29:27
bruno            3.3.0        extras           2026-05-07 13:36:18
bun              1.3.14       main             2026-05-14 06:09:49
Cascadia-Code    2407.24      nerd-fonts       2025-07-23 20:59:05
CascadiaMono-NF  3.4.0        nerd-fonts       2025-07-23 18:05:09
clink            1.9.23       main             2026-05-18 20:45:59
eza              0.23.4       main             2025-10-11 15:18:39
fastfetch        2.63.1       main             2026-05-14 06:09:51
FiraCode-NF      3.4.0        nerd-fonts       2025-07-21 14:50:12
flux             4.134        extras           2025-07-21 13:09:58
fzf              0.72.0       main             2026-05-06 13:34:30
git              2.54.0       main             2026-05-06 13:38:55
innounp          2.67.9       main             2026-05-06 13:41:22
localsend        1.17.0       extras           2025-07-23 17:17:41
mailpit          1.30.0       main             2026-05-14 16:15:56
micro            2.0.15       main             2026-01-08 04:57:30
mongodb-compass  1.49.7       extras           2026-05-16 17:14:11
mongosh          2.8.3        extras           2026-05-12 19:10:45
nodejs-lts       24.10.0      <auto-generated> 2026-03-09 18:33:30
oraclejdk-lts    21.0.11      java             2026-05-07 05:58:36
pnpm             11.1.3       main             2026-05-19 20:31:32
python312        3.12.10      versions         2025-11-15 13:54:53
railway          4.65.0       main             2026-05-27 17:07:37
rainmeter        4.5.25.3881  extras           2026-05-18 20:46:02
sourcegit        2026.11      extras           2026-05-18 20:46:12
speedtest-cli    1.2.0        main             2025-08-10 21:37:01
starship         1.25.1       main             2026-05-06 15:13:11
tableplus        6.9.6.340    extras           2026-05-16 15:25:56
telegram         6.8.1        extras           2026-05-11 06:41:24
trafficmonitor   1.86         extras           2026-05-06 15:22:28
windows-terminal 1.24.11321.0 extras           2026-05-17 14:30:44
winfetch         2.5.1        main             2025-08-15 04:32:04
zig              0.14.1       <auto-generated> 2026-05-10 07:30:31
zoxide           0.9.9        main             2026-02-10 14:57:48
